,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
2470,600207,安彩高科,,-13.78,-0.3649,-47.3807,-0.1076,343.6696,0.7809999999999999
2471,603006,联明股份,,17.48,28.6256,17.2181,0.2869,98.4849,1.6414
2472,603111,康尼机电,,-3.56,,-5.1232,-0.0236,143.7036,0.6634
2473,603609,禾丰牧业,,0.95,,16.3774,0.0345,1706.9061,3.6001
2474,600338,西藏珠峰,,-4.83,-0.1152,-14.032,-0.0886,289.9555,1.8312
2475,000017,深中华A,,-67.49,14.6089,-26.6468,-0.0483,39.4781,0.0716
2476,000035,中国天楹,,58.72,84.9987,0.5575,0.0029,0.9495,0.005
2477,600074,*ST保千,,-14.52,3.4863,-47.9326,-0.0724,329.9347,0.4989
2478,002708,光洋股份,,9.76,33.0022,13.4347,0.1344,137.5144,1.3756
2479,000555,神州信息,,-56.16,2.6045,-2.1663,-0.0239,3.8567,0.0425
2480,002713,东易日盛,,-38.79,27.3513,-64.4773,-0.6401,166.2187,1.6503
2481,002717,岭南股份,,10.78,27.8687,17.5124,0.2334,162.4043,2.1653
2482,002722,金轮股份,,9.56,43.3963,8.5851,0.0829,89.7724,0.8673
2483,002727,一心堂,,8.32,41.0938,66.045,0.3383,793.808,4.0666
2484,600556,ST慧球,,-49.3,-3.7398,-2.5558,-0.0064,5.1835,0.0131
2485,300358,楚天科技,,19.66,48.442,41.5738,0.6299,211.4235,3.2033
2486,300363,博腾股份,,19.4,41.6154,39.7243,0.4105,204.7397,2.1161
2487,300368,汇金股份,,13.49,50.7915,3.6265,0.0725,26.8786,0.5375
2488,300375,鹏翎股份,,10.75,25.6361,24.1647,0.3138,224.6084,2.9173
2489,300379,东方通,,-79.0,100.0,-12.5387,-0.2786,15.8715,0.3527
2490,300383,光环新网,,21.05,48.1129,13.6761,0.2986,64.9528,1.4181
2491,300387,富邦股份,,19.07,43.7374,11.7139,0.244,61.4212,1.2796
2492,300391,康跃科技,,10.71,37.5294,6.4055,0.1281,59.7922,1.1958
2493,600603,广汇物流,,-359.44,7.0184,-4.5261,-0.0232,1.2592,0.0064
2494,600608,ST沪科,,-10.42,14.1009,-5.9944,-0.0182,57.4885,0.1748
2495,601579,会稽山,,21.51,,58.6903,0.1956,272.8381,0.9094
2496,600228,ST昌九,,-21.16,2.9047,-27.4238,-0.1136,129.5413,0.5368
2497,000693,*ST华泽,,-510.92,-206.1349,-9.1297,-0.0473,1.7869,0.0092
2498,000751,锌业股份,,0.66,8.1025,6.7617,0.006,1011.9585,0.9115
2499,600301,ST南化,,-36.31,-15.177999999999999,-58.2153,-0.2475,160.3019,0.6817
2500,603005,晶方科技,,36.32,53.4057,31.9532,0.1686,87.9657,0.4641
2501,603100,川仪股份,,2.93,24.1235,19.9911,0.0677,681.6532,2.3106
2502,603288,海天味业,,18.95,39.9605,468.9684,0.6595,2473.7026,3.4791
2503,603555,贵人鸟,,13.26,39.2389,86.5067,0.1647,652.3244,1.2425
2504,600769,祥龙电业,,-575204.04,100.0,-51.7684,-0.138,0.009000000000000001,0.0
2505,000908,景峰医药,,-49.7,8.1355,-11.2505,-0.0401,22.6367,0.0808
